subject,session,vector
sub-20124,ses-1,"[0.008292981317,0.0008431197673,0.001790275359,0.04623635931,0.2426203206,0.2788980047,0.004023216612,0.0002708293448,0.001293256816,0.004992038551,0.004356803653,0.003471845422,0.003112856456,0.009272262873,0.004516499577,0.001127770748,0.003715591832,0.00181138137,0.002455581653,0.001307638788,0.001304276769,0.002307466018,0.003565234851,0.001046708723,0.001027096943,0.002432047517,0.001168862096,0.001194637579,0.003904425258,0.004867083495,0.004286574803,0.000641585379,0.003551599994,0.0007250755287,0.002934482646,0.002908146827,0.00764952815,0.006948920652,0.0116830176,0.004242494992,0.001743020308,0.001239277726,0.002579229257,0.01310608572,0.0008677745766,0.001037556559,0.018127075,0.008397951036,0.002907399711,0.002255915053,0.00205680879,0.0003856983428,0.0004219334414,0.0007007942771,0.001499834234,0.002462679249,0.00117652003,0.002874153075,0.006412678549,0.00449800847,0.001233487582,0.0004732976274,0.002809154032,0.001165686856,0.002185872981,0.001344060666,0.001676340255,0.0006273901857,0.004295913746,0.009891621567,0.008470794791,0.007519903622,0.001787473676,0.002795892733,0.000772143801,0.001392623169,0.001350784705,0.0009310926096,0.007557259394,0.003902183912]"
sub-20125,ses-1,"[0.008871806425,0.001486991851,0.001664042983,0.04050288225,0.2085412793,0.223660733,0.001982022062,0.0001606531072,0.001181846009,0.00495838229,0.006476031317,0.00178239394,0.002442592656,0.01066727125,0.00203169144,0.001995330603,0.007419987148,0.001522402078,0.003698823905,0.001391930841,0.001176380001,0.0026396066,0.002836382891,0.001402625205,0.001464652514,0.001860581621,0.0009743753541,0.0007930464772,0.002684522927,0.007713250364,0.00526614231,0.0008648175399,0.005362866888,0.0006668529862,0.005060810528,0.002853493872,0.007362712889,0.01193158269,0.008651740187,0.005937985999,0.002115820434,0.001618889003,0.005071267239,0.008679545532,0.0007925711722,0.001194441593,0.01510305564,0.0117723555,0.001890288187,0.001346776861,0.001630533977,0.0005546809943,0.0006114799478,0.001358184183,0.001709672268,0.002838046458,0.002715655408,0.003414353832,0.01005389009,0.005317237603,0.002189255064,0.001027847172,0.002830916882,0.001467741997,0.001596074361,0.0007854415964,0.001910963957,0.0004859994144,0.006903330558,0.01049259665,0.01432165414,0.01433710155,0.001429717593,0.001854877961,0.0007514572853,0.0008294073136,0.002638418337,0.001067535144,0.01173409344,0.005200074908]"
sub-20141,ses-1,"[0.007928775914,0.002378837445,0.001298359616,0.04529466512,0.2466689764,0.268810678,0.003118072578,0.0002318366411,0.001272124491,0.00515659765,0.005542868009,0.002763247157,0.00388447316,0.007700288438,0.002580717667,0.001360877362,0.003619516998,0.001743426426,0.002826137032,0.001761102575,0.001591039421,0.002005777682,0.003965225248,0.001064476263,0.001074523758,0.003081045699,0.0006737403511,0.001004005229,0.002208216097,0.005945512063,0.00353206658,0.0006125250583,0.002995269863,0.0008689222424,0.003109141471,0.00243223802,0.007461381337,0.00628991786,0.01111494818,0.005358663936,0.002108113278,0.001479958783,0.002533643292,0.01184115878,0.000896459821,0.001115085867,0.02123612469,0.009580472433,0.00197340242,0.001988845792,0.001930607535,0.0006264799123,0.0006168045468,0.001085687641,0.002394094752,0.002312226276,0.001620437647,0.002385907905,0.005991656114,0.005656925682,0.001264867967,0.0005328893581,0.00562845778,0.001356039679,0.001444606486,0.001168486442,0.001199001056,0.0005291680637,0.004669666278,0.008156705196,0.007043479976,0.00903790771,0.001174254448,0.002632071529,0.0009308817942,0.001865298818,0.002142535251,0.001692072564,0.007161631073,0.00396057363]"
sub-20212,ses-1,"[0.01269245653,0.001434469036,0.001327678925,0.04078478345,0.2521448409,0.2767166092,0.003237514596,0.0002271382125,0.001636332473,0.0050459164,0.006453269451,0.002265523734,0.002834457252,0.0100138325,0.002497013894,0.002071025131,0.003881268144,0.001079450503,0.004633820394,0.001976119187,0.002175471885,0.001481001403,0.003262789371,0.001250850304,0.001858783972,0.003908049363,0.0006343801219,0.0008695527001,0.002739551307,0.006384307813,0.004637168047,0.0005947104415,0.002948110049,0.0006176418601,0.002884169889,0.002591585073,0.00983038115,0.006524741829,0.007766051324,0.006240358761,0.002423532925,0.001919209097,0.002331639868,0.01148378665,0.000919097955,0.001061875328,0.01457166119,0.00792824508,0.002275901456,0.002004908997,0.001756847958,0.0007133847176,0.0003145119391,0.000987892211,0.00207989641,0.003075990369,0.0009182610419,0.002421356951,0.007659595979,0.007558831643,0.001094347556,0.0009713213318,0.004163140473,0.001046978275,0.001609551254,0.001261060643,0.001186742761,0.0007045134388,0.002522623435,0.007157615507,0.008168439137,0.008587732595,0.001663113692,0.003458292269,0.001263571383,0.001810912543,0.001456730924,0.0008345697329,0.006164869201,0.004109745418]"
sub-20236,ses-1,"[0.01326124429,0.001176726331,0.001234573802,0.03410759399,0.255202111,0.2965933773,0.003096899788,0.0002060095117,0.001305605881,0.004969443845,0.004936976746,0.00313052054,0.004561380204,0.01159784109,0.003195949161,0.001043891398,0.00468993014,0.002138213924,0.006096892701,0.001794919674,0.001454427153,0.002588468313,0.004189903853,0.001419652747,0.001110144057,0.003354988504,0.0006523085179,0.0007160890627,0.001911933076,0.007313337666,0.003423548469,0.0006567583233,0.002585007353,0.0009229226124,0.002737289584,0.002341916129,0.008007672124,0.005908187988,0.00962871977,0.006601039178,0.002191776397,0.001751245657,0.002036692437,0.01274407801,0.0008593068752,0.001320108951,0.01316301895,0.006091618857,0.001936324602,0.001821783314,0.001374825077,0.0004650870736,0.0004021305669,0.0006315427591,0.001134205968,0.00235081574,0.0006770296593,0.002238581758,0.008079528242,0.007694372858,0.0008347505414,0.0010396064,0.002726577089,0.001371364118,0.001567979595,0.001192547861,0.002145959882,0.0006496715961,0.003969720887,0.008074254398,0.01066206348,0.008232634511,0.001606709384,0.003062454997,0.001157443841,0.001160575185,0.00130016723,0.0005908352796,0.005675150028,0.003512379771]"
sub-20333,ses-1,"[0.01037224225,0.001785011444,0.001476326607,0.04441499906,0.2530006828,0.2728687615,0.003743433252,0.0001937375114,0.001293202386,0.005564242064,0.004160589509,0.002509773221,0.004677222873,0.01059979838,0.00342197649,0.001799762118,0.004176599387,0.002042608581,0.003968291088,0.001629050049,0.001263161379,0.002134350578,0.005130356383,0.001004484924,0.00102013503,0.002682823811,0.0004281293195,0.0007670350498,0.002708367662,0.007128533056,0.004078021712,0.0006776315742,0.003566784936,0.000678171233,0.00264432815,0.002907141989,0.008653788729,0.006080875427,0.01167461884,0.005138451266,0.002188136573,0.001299858178,0.002566617282,0.01299732257,0.001112596572,0.0009357683698,0.01479528583,0.009195786056,0.002144064437,0.002515169809,0.001561952471,0.0005952436631,0.0003892738855,0.001074820456,0.002121578653,0.002698833689,0.001665566962,0.00256427876,0.00563529714,0.004509928643,0.001118532819,0.0005157339324,0.004299281822,0.001223046741,0.001300397836,0.001632467889,0.001376489728,0.0004691433888,0.003765919035,0.008781867752,0.009193447535,0.008370108083,0.001142457693,0.002938442199,0.00101725685,0.001429736064,0.001538207484,0.001339613043,0.006906733287,0.003237053405]"
sub-20335,ses-1,"[0.008009755621,0.001096616761,0.00110663661,0.03574710867,0.243489557,0.2892980781,0.003626071869,0.000131371348,0.00110663661,0.00338002892,0.005987972842,0.00236171542,0.002320337157,0.01174994243,0.004108694575,0.0009234960439,0.003727012565,0.001727310563,0.006495088511,0.00159018708,0.001291818256,0.003336795129,0.00545376647,0.001119254197,0.0008693146405,0.003602877775,0.0005728013437,0.0006564856346,0.002582337642,0.007919762537,0.004550495676,0.0007173469371,0.002432225466,0.0007707861295,0.003868218209,0.001794851765,0.008174155359,0.004452152718,0.01025995384,0.005123111467,0.001830848998,0.00239474381,0.00293692895,0.01209692608,0.0009097651403,0.001181228816,0.01156123528,0.007185901405,0.002287123214,0.00193679962,0.001866846232,0.0005199188095,0.0004976524794,0.0007086259578,0.001630080921,0.002022896096,0.001429869503,0.003650008174,0.006006528117,0.00378601834,0.001946819468,0.000550906119,0.003939470466,0.001133541759,0.001473474399,0.0008561403951,0.002075593078,0.0005208465733,0.004297216171,0.01113854612,0.01130294585,0.009871963035,0.00114374716,0.002167812795,0.0007273667856,0.001069340507,0.001722300639,0.00102239566,0.005210135708,0.006216573832]"
sub-20336,ses-1,"[0.008804142288,0.0008821602416,0.001108463839,0.03872469871,0.2577748847,0.288257725,0.00300619326,0.0003369974174,0.001146265864,0.003973450435,0.004448094685,0.003226224773,0.002341182763,0.00785315863,0.004373338215,0.0008889408737,0.004402494934,0.002009270819,0.003928189715,0.002037071411,0.001411558096,0.002129457524,0.00341862521,0.0009038582644,0.0009521702685,0.002130474619,0.0006907768994,0.0006222925148,0.002530362399,0.004423684409,0.003408623777,0.000622122999,0.002348302426,0.000874023483,0.002904483778,0.003957176918,0.005788286627,0.00460421874,0.01046387152,0.006913532531,0.001728383133,0.002055718149,0.003422015526,0.01145655607,0.000738580356,0.001219496691,0.01534863892,0.006713334367,0.002365423523,0.001665323254,0.001637692178,0.0006192412303,0.0003195372897,0.0006166984933,0.001468854438,0.001869928829,0.001241364229,0.002878208828,0.006712317273,0.007371564233,0.001672951465,0.0009720036175,0.002067245224,0.001313747477,0.001801783476,0.001142536516,0.001383079441,0.0009257258031,0.003383704954,0.009086555617,0.009675962066,0.01003787831,0.001488687787,0.00249883246,0.000798080403,0.001519031115,0.001028960927,0.0007950291186,0.005449933084,0.004125845142]"
sub-20347,ses-1,"[0.00702563963,0.001014089152,0.000970693001,0.04738070694,0.2074973163,0.2779233521,0.002984274418,0.000167666948,0.001662861613,0.003501083128,0.006940622624,0.002440244486,0.002895706819,0.01488409085,0.002386591063,0.002476342194,0.006905708448,0.0009381458876,0.003905653611,0.001512355871,0.001575083035,0.001925211073,0.00333302167,0.001869585097,0.001185306694,0.002591144739,0.000711499625,0.0009949553947,0.002262714776,0.009606724352,0.00410389512,0.0004840643415,0.003078167909,0.0008239351078,0.002558400371,0.003861271184,0.006375289127,0.007028203948,0.008895224727,0.004649305839,0.00345137481,0.001086679078,0.003020963892,0.008598750112,0.0008407018026,0.001217853808,0.008453964771,0.009996303437,0.002141205553,0.00163445686,0.002421110728,0.0009444580551,0.0007955303542,0.001495391921,0.002611659283,0.003947274465,0.002165073436,0.004997066815,0.006827792631,0.00484458852,0.002234901789,0.0009409074609,0.004295035441,0.001229886377,0.001623016056,0.00110936343,0.001937440897,0.0004000336123,0.005449373064,0.008040517803,0.009498431229,0.01155343625,0.00145692715,0.002117929435,0.0006783607459,0.001106207346,0.001417476104,0.001428916907,0.009796286631,0.00604330857]"
sub-20350,ses-1,"[0.01137102315,0.001899248508,0.001486376774,0.04510782638,0.2191217989,0.2421561114,0.00439150644,0.0002546973552,0.001226092261,0.007203388361,0.006478791725,0.003162138949,0.003270799545,0.009644783887,0.002054532977,0.00209807428,0.004420020214,0.001083138072,0.003049239819,0.002411918449,0.001609872239,0.002016000851,0.00364109328,0.001403147381,0.00134496387,0.002709193804,0.001095275692,0.0009823765614,0.003906001648,0.006892819423,0.005434763761,0.000605339705,0.002858120472,0.0006590920213,0.003236120632,0.002309422993,0.01065952743,0.008568966919,0.01022507771,0.004749084573,0.00314113894,0.001645514456,0.003743588736,0.007744957397,0.000910899467,0.001249596858,0.0161740527,0.01002798588,0.002413267073,0.00227204683,0.002157028433,0.0007770003279,0.0005743213433,0.001361725345,0.002418661571,0.003551120765,0.001848386101,0.003625295108,0.008659324755,0.006503259625,0.001354404241,0.0007315324188,0.004386689925,0.001513156602,0.001564211669,0.00120470693,0.001601395171,0.0006903030436,0.004489956023,0.009190490117,0.01028518783,0.01206055555,0.002044514624,0.002013303602,0.0008270920922,0.001645707117,0.002119266949,0.002198257808,0.008808829406,0.004655644167]"
