subject,session,vector
sub-20124,ses-1,"[0.008292981317,0.0008431197673,0.001790275359,0.04623635931,0.2426203206,0.2788980047,0.004023216612,0.0002708293448,0.001293256816,0.004992038551,0.004356803653,0.003471845422,0.003112856456,0.009272262873,0.004516499577,0.001127770748,0.003715591832,0.00181138137,0.002455581653,0.001307638788,0.001304276769,0.002307466018,0.003565234851,0.001046708723,0.001027096943,0.002432047517,0.001168862096,0.001194637579,0.003904425258,0.004867083495,0.004286574803,0.000641585379,0.003551599994,0.0007250755287,0.002934482646,0.002908146827,0.00764952815,0.006948920652,0.0116830176,0.004242494992,0.001743020308,0.001239277726,0.002579229257,0.01310608572,0.0008677745766,0.001037556559,0.018127075,0.008397951036,0.002907399711,0.002255915053,0.00205680879,0.0003856983428,0.0004219334414,0.0007007942771,0.001499834234,0.002462679249,0.00117652003,0.002874153075,0.006412678549,0.00449800847,0.001233487582,0.0004732976274,0.002809154032,0.001165686856,0.002185872981,0.001344060666,0.001676340255,0.0006273901857,0.004295913746,0.009891621567,0.008470794791,0.007519903622,0.001787473676,0.002795892733,0.000772143801,0.001392623169,0.001350784705,0.0009310926096,0.007557259394,0.003902183912]"
sub-20125,ses-1,"[0.008871806425,0.001486991851,0.001664042983,0.04050288225,0.2085412793,0.223660733,0.001982022062,0.0001606531072,0.001181846009,0.00495838229,0.006476031317,0.00178239394,0.002442592656,0.01066727125,0.00203169144,0.001995330603,0.007419987148,0.001522402078,0.003698823905,0.001391930841,0.001176380001,0.0026396066,0.002836382891,0.001402625205,0.001464652514,0.001860581621,0.0009743753541,0.0007930464772,0.002684522927,0.007713250364,0.00526614231,0.0008648175399,0.005362866888,0.0006668529862,0.005060810528,0.002853493872,0.007362712889,0.01193158269,0.008651740187,0.005937985999,0.002115820434,0.001618889003,0.005071267239,0.008679545532,0.0007925711722,0.001194441593,0.01510305564,0.0117723555,0.001890288187,0.001346776861,0.001630533977,0.0005546809943,0.0006114799478,0.001358184183,0.001709672268,0.002838046458,0.002715655408,0.003414353832,0.01005389009,0.005317237603,0.002189255064,0.001027847172,0.002830916882,0.001467741997,0.001596074361,0.0007854415964,0.001910963957,0.0004859994144,0.006903330558,0.01049259665,0.01432165414,0.01433710155,0.001429717593,0.001854877961,0.0007514572853,0.0008294073136,0.002638418337,0.001067535144,0.01173409344,0.005200074908]"
sub-20141,ses-1,"[0.007928775914,0.002378837445,0.001298359616,0.04529466512,0.2466689764,0.268810678,0.003118072578,0.0002318366411,0.001272124491,0.00515659765,0.005542868009,0.002763247157,0.00388447316,0.007700288438,0.002580717667,0.001360877362,0.003619516998,0.001743426426,0.002826137032,0.001761102575,0.001591039421,0.002005777682,0.003965225248,0.001064476263,0.001074523758,0.003081045699,0.0006737403511,0.001004005229,0.002208216097,0.005945512063,0.00353206658,0.0006125250583,0.002995269863,0.0008689222424,0.003109141471,0.00243223802,0.007461381337,0.00628991786,0.01111494818,0.005358663936,0.002108113278,0.001479958783,0.002533643292,0.01184115878,0.000896459821,0.001115085867,0.02123612469,0.009580472433,0.00197340242,0.001988845792,0.001930607535,0.0006264799123,0.0006168045468,0.001085687641,0.002394094752,0.002312226276,0.001620437647,0.002385907905,0.005991656114,0.005656925682,0.001264867967,0.0005328893581,0.00562845778,0.001356039679,0.001444606486,0.001168486442,0.001199001056,0.0005291680637,0.004669666278,0.008156705196,0.007043479976,0.00903790771,0.001174254448,0.002632071529,0.0009308817942,0.001865298818,0.002142535251,0.001692072564,0.007161631073,0.00396057363]"
sub-20333,ses-1,"[0.01037224225,0.001785011444,0.001476326607,0.04441499906,0.2530006828,0.2728687615,0.003743433252,0.0001937375114,0.001293202386,0.005564242064,0.004160589509,0.002509773221,0.004677222873,0.01059979838,0.00342197649,0.001799762118,0.004176599387,0.002042608581,0.003968291088,0.001629050049,0.001263161379,0.002134350578,0.005130356383,0.001004484924,0.00102013503,0.002682823811,0.0004281293195,0.0007670350498,0.002708367662,0.007128533056,0.004078021712,0.0006776315742,0.003566784936,0.000678171233,0.00264432815,0.002907141989,0.008653788729,0.006080875427,0.01167461884,0.005138451266,0.002188136573,0.001299858178,0.002566617282,0.01299732257,0.001112596572,0.0009357683698,0.01479528583,0.009195786056,0.002144064437,0.002515169809,0.001561952471,0.0005952436631,0.0003892738855,0.001074820456,0.002121578653,0.002698833689,0.001665566962,0.00256427876,0.00563529714,0.004509928643,0.001118532819,0.0005157339324,0.004299281822,0.001223046741,0.001300397836,0.001632467889,0.001376489728,0.0004691433888,0.003765919035,0.008781867752,0.009193447535,0.008370108083,0.001142457693,0.002938442199,0.00101725685,0.001429736064,0.001538207484,0.001339613043,0.006906733287,0.003237053405]"
sub-20335,ses-1,"[0.008009755621,0.001096616761,0.00110663661,0.03574710867,0.243489557,0.2892980781,0.003626071869,0.000131371348,0.00110663661,0.00338002892,0.005987972842,0.00236171542,0.002320337157,0.01174994243,0.004108694575,0.0009234960439,0.003727012565,0.001727310563,0.006495088511,0.00159018708,0.001291818256,0.003336795129,0.00545376647,0.001119254197,0.0008693146405,0.003602877775,0.0005728013437,0.0006564856346,0.002582337642,0.007919762537,0.004550495676,0.0007173469371,0.002432225466,0.0007707861295,0.003868218209,0.001794851765,0.008174155359,0.004452152718,0.01025995384,0.005123111467,0.001830848998,0.00239474381,0.00293692895,0.01209692608,0.0009097651403,0.001181228816,0.01156123528,0.007185901405,0.002287123214,0.00193679962,0.001866846232,0.0005199188095,0.0004976524794,0.0007086259578,0.001630080921,0.002022896096,0.001429869503,0.003650008174,0.006006528117,0.00378601834,0.001946819468,0.000550906119,0.003939470466,0.001133541759,0.001473474399,0.0008561403951,0.002075593078,0.0005208465733,0.004297216171,0.01113854612,0.01130294585,0.009871963035,0.00114374716,0.002167812795,0.0007273667856,0.001069340507,0.001722300639,0.00102239566,0.005210135708,0.006216573832]"
sub-20336,ses-1,"[0.008804142288,0.0008821602416,0.001108463839,0.03872469871,0.2577748847,0.288257725,0.00300619326,0.0003369974174,0.001146265864,0.003973450435,0.004448094685,0.003226224773,0.002341182763,0.00785315863,0.004373338215,0.0008889408737,0.004402494934,0.002009270819,0.003928189715,0.002037071411,0.001411558096,0.002129457524,0.00341862521,0.0009038582644,0.0009521702685,0.002130474619,0.0006907768994,0.0006222925148,0.002530362399,0.004423684409,0.003408623777,0.000622122999,0.002348302426,0.000874023483,0.002904483778,0.003957176918,0.005788286627,0.00460421874,0.01046387152,0.006913532531,0.001728383133,0.002055718149,0.003422015526,0.01145655607,0.000738580356,0.001219496691,0.01534863892,0.006713334367,0.002365423523,0.001665323254,0.001637692178,0.0006192412303,0.0003195372897,0.0006166984933,0.001468854438,0.001869928829,0.001241364229,0.002878208828,0.006712317273,0.007371564233,0.001672951465,0.0009720036175,0.002067245224,0.001313747477,0.001801783476,0.001142536516,0.001383079441,0.0009257258031,0.003383704954,0.009086555617,0.009675962066,0.01003787831,0.001488687787,0.00249883246,0.000798080403,0.001519031115,0.001028960927,0.0007950291186,0.005449933084,0.004125845142]"
sub-20350,ses-1,"[0.01137102315,0.001899248508,0.001486376774,0.04510782638,0.2191217989,0.2421561114,0.00439150644,0.0002546973552,0.001226092261,0.007203388361,0.006478791725,0.003162138949,0.003270799545,0.009644783887,0.002054532977,0.00209807428,0.004420020214,0.001083138072,0.003049239819,0.002411918449,0.001609872239,0.002016000851,0.00364109328,0.001403147381,0.00134496387,0.002709193804,0.001095275692,0.0009823765614,0.003906001648,0.006892819423,0.005434763761,0.000605339705,0.002858120472,0.0006590920213,0.003236120632,0.002309422993,0.01065952743,0.008568966919,0.01022507771,0.004749084573,0.00314113894,0.001645514456,0.003743588736,0.007744957397,0.000910899467,0.001249596858,0.0161740527,0.01002798588,0.002413267073,0.00227204683,0.002157028433,0.0007770003279,0.0005743213433,0.001361725345,0.002418661571,0.003551120765,0.001848386101,0.003625295108,0.008659324755,0.006503259625,0.001354404241,0.0007315324188,0.004386689925,0.001513156602,0.001564211669,0.00120470693,0.001601395171,0.0006903030436,0.004489956023,0.009190490117,0.01028518783,0.01206055555,0.002044514624,0.002013303602,0.0008270920922,0.001645707117,0.002119266949,0.002198257808,0.008808829406,0.004655644167]"
sub-20403,ses-1,"[0.008528383488,0.001232253939,0.002078982875,0.04878179609,0.2561493588,0.2934679846,0.003013220639,0.0001990015567,0.00165553738,0.004741033829,0.004558561718,0.003666781941,0.003365848805,0.009537327863,0.003728848387,0.001910933515,0.003618652085,0.001470958575,0.003804527318,0.0017809667,0.001092401868,0.002116417207,0.003656248471,0.001021422485,0.0009875533277,0.002620241181,0.0005522779358,0.000589388161,0.003346726505,0.0033081578,0.004174009035,0.0005825819188,0.002297754945,0.0008478633099,0.003898518281,0.003616545391,0.005891288755,0.007254319776,0.008768708658,0.005948655654,0.001157061168,0.002215107719,0.002665129968,0.009781218207,0.0008588829401,0.0012136178,0.01749009773,0.007667555908,0.001676442267,0.001246028477,0.001324948475,0.0007238924704,0.0004777333788,0.000881570414,0.001378750199,0.00492107514,0.001024825606,0.002142345749,0.005055579449,0.005321184947,0.001035845236,0.0008600173138,0.004206581766,0.001137452709,0.001378912252,0.0008867561223,0.001459614838,0.0005216498461,0.00370745734,0.00563346182,0.007727677713,0.007006702204,0.001677900747,0.002989236738,0.001427366214,0.001524436192,0.001430931389,0.001087378213,0.007388824086,0.003748294793]"
sub-20612,ses-1,"[0.007394100202,0.001022933151,0.001779312612,0.05383107055,0.1967248216,0.2688399881,0.002442264814,0.0002158360348,0.001370520687,0.003843864365,0.005547672498,0.002308797301,0.0038335683,0.01257683439,0.004206895999,0.003575213329,0.008382903803,0.001441449137,0.003305227617,0.001989809946,0.002261130333,0.002846099374,0.003659679197,0.001014162428,0.001691605389,0.002506901224,0.0007294952907,0.0009470473364,0.001971887166,0.006202235314,0.006981685588,0.0006398813893,0.003345839875,0.0007954663755,0.005393803523,0.004338838169,0.008177363834,0.008348011582,0.008579291715,0.007931020939,0.002271807734,0.002337588151,0.003190064221,0.006249902283,0.000793178361,0.0008919443204,0.01082383394,0.01160023353,0.002932471921,0.001367660669,0.001321900379,0.0008242572247,0.001100916312,0.001579874014,0.002284010478,0.004346655552,0.001550892497,0.002949441362,0.009633494397,0.007174641478,0.001659954522,0.001193962235,0.003786091999,0.002039574262,0.001696562754,0.001255547958,0.001246586568,0.0009945236373,0.005326307095,0.007814332199,0.009781643336,0.00868377771,0.002171897767,0.00310311967,0.001031513205,0.001683597338,0.00166281454,0.001284720143,0.008851756108,0.005835771658]"
sub-20794,ses-1,"[0.007905628193,0.002017308652,0.001542925619,0.04482985783,0.220733958,0.2911644413,0.003322759371,0.0001416914674,0.001743560737,0.004252633241,0.007158630777,0.002395719331,0.003449337082,0.009651644915,0.003973973356,0.001326987823,0.003812256161,0.001690662589,0.003302544722,0.001920958454,0.001293170792,0.001939472806,0.002462786625,0.001054373439,0.0009652022759,0.004121332482,0.00079082731,0.0007872377929,0.002468454284,0.006400109121,0.003899349183,0.000582446392,0.002953039102,0.0008357907357,0.004669584,0.002788677,0.007594662652,0.007948135633,0.009486149281,0.005144344876,0.001934371913,0.001523655579,0.002325251441,0.01183142645,0.001039259683,0.001140710774,0.01641202821,0.007330549757,0.001733547873,0.002162022871,0.001638897973,0.0008620508876,0.000690887595,0.001246695991,0.003101342838,0.001996905081,0.001065330913,0.003564390554,0.007347741655,0.005141699969,0.001308284549,0.0006750181507,0.003865154309,0.001219302307,0.001167915535,0.0009663358076,0.0007685345192,0.0005471179861,0.004914993621,0.01008389835,0.00935957157,0.007614877302,0.001617549792,0.003281007619,0.0008913337909,0.001227048108,0.002110636098,0.000604172417,0.008202235665,0.005290570471]"
