column	r2_vs_other_features	vif
cnb_ddisc_rt	0.7577547780240356	4.128048395931706
cnb_rdisc_rt	0.7411982010062581	3.863960775729311
cnb_ctap_dom	0.7256510589993062	3.644993111154276
cnb_ctap_non	0.6973408544412667	3.3040468615409555
dx_none	0.6782488407801133	3.107991910346448
cnb_edisc_rt	0.6494252974883966	2.852459098833299
cnb_pvrt_cr	0.640954568903614	2.785162860717616
em_average	0.6292244509724149	2.6970494754108003
im_average	0.6106324697216383	2.568267567881412
cnb_adt_cr	0.6075984038702278	2.548409613678756
cnb_adt_rtcr	0.6050777161417722	2.532143768212856
cnb_er40_rtcr	0.6043336725263222	2.5273821161001533
cnb_cpw_rtcr	0.6042404857827657	2.526787010990455
cnb_medf_cr	0.6019782118306307	2.5124252734990287
mapssr_recvoc_total	0.6013848364407373	2.508685297044221
dx_prodromal	0.5969721693648143	2.481218228587256
dx_adhd	0.5955905617429452	2.4727414976016706
cnb_pmat_cr	0.5824281984817307	2.394797724281314
cnb_medf_rtcr	0.5621726487849408	2.284005321332252
cnb_plot_cr	0.5524583579752906	2.234428947161053
mapssr_social_total	0.5397521451688461	2.172742337640789
cnb_cpf_cr	0.5397432557415691	2.172700373160653
cnb_mpract_mp2	0.5392040528218088	2.170157975832407
cnb_mpract_mp2rtcr	0.5311762144225327	2.1329975798225846
cnb_cpf_rtcr	0.5229242586907887	2.0961032251519605
cnb_pvrt_rtcr	0.5131798396806575	2.054146646975392
cnb_cpw_cr	0.504830356839749	2.019509906984285
dx_moodnos	0.4660548725121033	1.8728516256057937
cnb_volt_cr	0.4609056853887988	1.8549629868035384
ari_total_score	0.4540353994730489	1.8316205831565373
cnb_er40_cr	0.4506485408926884	1.8203282860575012
dx_mdd	0.4492837634016182	1.81581717324464
dx_psychosis	0.4241220114903392	1.7364789416382151
bas_rr	0.4226556243688655	1.7320684884248363
rpas_total_score	0.4013197981000368	1.670340854476921
dx_bp	0.3891044593968915	1.6369410701750204
prime_total_score	0.3762158856327392	1.6031187344588858
eswan_adhd_inattention_total	0.3349921376243731	1.5037416195767537
cnb_ddisc_tot	0.2909075740477967	1.4102533934940176
asrm_total_score	0.2795274011617916	1.3879778378977092
tanner_mean_stage	0.2378593368476635	1.3120937490250673
dx_prodromal_remit	0.2366068116736799	1.3099409521748837
dx_ptsd	0.2364337334026438	1.309644026649124
dx_ptsd_remit	0.1684345250341968	1.20255112808901
